ID Data;Fecha;ID Nombre Campaña;ID Categoría;ID Medio;ID Campaña;Impresiones;Inversión en Marketing;Clics;Suscripciones;Ventas;Ingresos
1;2/1/2021;1;1;4;349043;148263;7307.37;1210;13;1;4981
2;2/1/2021;2;1;4;348934;220688;16300.20;1640;48;3;14962
3;2/1/2021;3;2;3;89459845;22850;5221.60;457;9;1;7981
4;2/1/2021;4;2;3;127823;147038;6037.00;1196;24;1;2114
5;2/1/2021;5;3;1;10934;225800;29962.20;2258;49;10;84490
6;2/1/2021;6;1;2;9034945;444857;9540.01;1342;27;3;17943
7;2/1/2021;7;1;2;983498;511200;3648.90;2556;94;1;1981
8;2/1/2021;8;1;4;4387490;5544;1293.55;148;3;1;4981
9;2/1/2021;9;1;4;544756;56916;16997.80;596;14;2;4162
10;2/1/2021;10;3;2;374754;120436;23604.10;1498;49;7;39081
11;2/1/2021;11;4;5;39889;20900000;931.99;2090;3;0;0
12;2/2/2021;1;1;4;349043;478200;18385.30;2391;48;4;17812
13;2/2/2021;2;1;4;348934;957806;2198.05;3294;10;0;0
14;2/2/2021;3;2;3;89459845;43806;11446.70;907;18;3;23943
15;2/2/2021;4;2;3;127823;314704;15153.60;2395;39;4;12540
16;2/2/2021;5;3;1;10934;449200;42301.10;4492;85;17;149141
17;2/2/2021;6;1;2;9034945;540200;29081.10;2701;54;9;45585
18;2/2/2021;7;1;2;983498;1020800;1421.34;5104;14;0;0
19;2/2/2021;8;1;4;4387490;10033;169.75;301;0;0;0
20;2/2/2021;9;1;4;544756;107553;8829.07;1196;7;1;1129
21;2/2/2021;10;3;2;374754;299600;13919.10;2996;19;3;14466
22;2/2/2021;11;4;5;39889;42000000;46159.80;4200;92;13;51753
23;2/3/2021;1;1;4;349043;2313889;65284.40;7197;115;13;72527
24;2/3/2021;2;1;4;348934;1105666;78958.30;9898;226;12;59772
25;2/3/2021;3;2;3;89459845;134900;77345.50;2698;84;16;115856
26;2/3/2021;4;2;3;127823;4371854;49498.90;7207;144;13;38753
27;2/3/2021;5;3;1;10934;1035261;189341.00;13503;455;91;772499
28;2/3/2021;6;1;2;9034945;1618600;62509.80;8093;166;15;84600
29;2/3/2021;7;1;2;983498;3059600;94399.90;15298;592;36;104184
30;2/3/2021;8;1;4;4387490;29867;5039.51;896;18;4;23560
31;2/3/2021;9;1;4;544756;295009;76716.40;3595;72;9;5607
32;2/3/2021;10;3;2;374754;667352;194336.00;8996;342;51;254031
33;2/3/2021;11;4;5;39889;125910000;29378.30;12591;68;13;51753
34;2/4/2021;1;1;4;349043;2475754;173914.00;9601;192;31;154411
35;2/4/2021;2;1;4;348934;4597702;115389.00;13206;143;17;82909
36;2/4/2021;3;2;3;89459845;196484;41269.60;3599;55;9;68589
37;2/4/2021;4;2;3;127823;1531679;60108.80;9591;234;17;58990
38;2/4/2021;5;3;1;10934;2120555;185263.00;17993;445;89;624958
39;2/4/2021;6;1;2;9034945;1322751;104028.00;10794;238;27;179037
40;2/4/2021;7;1;2;983498;3008227;40119.20;20392;408;12;23772
41;2/4/2021;8;1;4;4387490;43160;885.75;1194;4;1;5287
42;2/4/2021;9;1;4;544756;432611;120335.00;4807;71;13;6864
43;2/4/2021;10;3;2;374754;1199300;149279.00;11993;267;38;224542
44;2/4/2021;11;4;5;39889;41924802;177746.00;16806;336;60;204540
45;2/5/2021;1;1;4;349043;3462883;90691.70;11997;143;17;84677
46;2/5/2021;2;1;4;348934;3299600;261047.00;16498;330;42;209202
47;2/5/2021;3;2;3;89459845;236719;96930.60;4504;151;23;177882
48;2/5/2021;4;2;3;127823;9914040;56875.20;11993;139;14;49644
49;2/5/2021;5;3;1;10934;1965108;442617.00;22507;731;146;1165230
50;2/5/2021;6;1;2;9034945;7485780;258306.00;13498;526;76;454556
51;2/5/2021;7;1;2;983498;5100600;13588.80;25503;765;4;7924
52;2/5/2021;8;1;4;4387490;48954;6790.74;1505;30;5;27060
53;2/5/2021;9;1;4;544756;600400;192789.00;6004;120;21;9492
54;2/5/2021;10;3;2;374754;2153303;36431.70;15003;51;8;47816
55;2/5/2021;11;4;5;39889;8238872;427922.00;20997;796;119;471240
56;2/6/2021;1;1;4;349043;310024;40407.90;2391;76;9;46152
57;2/6/2021;2;1;4;348934;448321;62272.60;3302;108;9;44829
58;2/6/2021;3;2;3;89459845;44950;6768.87;899;13;1;8136
59;2/6/2021;4;2;3;127823;478400;22542.00;2392;48;6;13152
60;2/6/2021;5;3;1;10934;472252;80971.40;4508;133;27;215487
61;2/6/2021;6;1;2;9034945;425467;3661.53;2695;14;1;5958
62;2/6/2021;7;1;2;983498;1589341;12183.40;5092;102;5;12295
63;2/6/2021;8;1;4;4387490;10200;1420.15;306;6;1;5492
64;2/6/2021;9;1;4;544756;119700;29281.00;1197;24;4;6428
65;2/6/2021;10;3;2;374754;300700;8289.21;3007;20;2;9450
66;2/6/2021;11;4;5;39889;42070000;38185.20;4207;84;10;48820
67;2/7/2021;1;1;4;349043;478000;27314.40;2390;45;5;24905
68;2/7/2021;2;1;4;348934;659000;38485.60;3295;66;5;23735
69;2/7/2021;3;2;3;89459845;44650;6426.00;893;18;2;14152
70;2/7/2021;4;2;3;127823;1137473;18102.10;2404;48;5;17845
71;2/7/2021;5;3;1;10934;694624;31680.10;4505;82;15;119715
72;2/7/2021;6;1;2;9034945;1246126;37965.90;2696;100;11;65791
73;2/7/2021;7;1;2;983498;567096;6747.94;5103;199;2;3962
74;2/7/2021;8;1;4;4387490;9938;3435.44;294;6;1;4981
75;2/7/2021;9;1;4;544756;174221;10104.90;1197;6;1;981
76;2/7/2021;10;3;2;374754;300700;46167.60;3007;93;12;68076
77;2/7/2021;11;4;5;39889;3957603;79987.70;4203;142;27;90504
78;2/8/2021;1;1;4;349043;479000;27210.40;2395;36;5;22345
79;2/8/2021;2;1;4;348934;472656;33752.80;3290;66;5;28670
80;2/8/2021;3;2;3;89459845;51350;6918.85;904;20;2;16240
81;2/8/2021;4;2;3;127823;478000;16567.50;2390;48;5;16995
82;2/8/2021;5;3;1;10934;685530;33892.60;4491;79;16;120176
83;2/8/2021;6;1;2;9034945;472836;330.76;2690;1;0;0
84;2/8/2021;7;1;2;983498;1020000;2057.30;5100;102;1;1981
85;2/8/2021;8;1;4;4387490;10067;4336.04;302;10;2;10036
86;2/8/2021;9;1;4;544756;120200;40099.00;1202;24;5;4905
87;2/8/2021;10;3;2;374754;361650;31154.30;2991;60;9;45027
88;2/8/2021;11;4;5;39889;2233790;31883.90;4197;84;10;42280
89;2/9/2021;1;1;4;349043;478600;49036.50;2393;68;9;42813
90;2/9/2021;2;1;4;348934;555116;62119.40;3303;96;11;54791
91;2/9/2021;3;2;3;89459845;44900;3095.21;898;5;1;7998
92;2/9/2021;4;2;3;127823;478600;20299.30;2393;48;5;14905
93;2/9/2021;5;3;1;10934;491821;27833.00;4495;90;18;143658
94;2/9/2021;6;1;2;9034945;759532;10317.00;2701;19;3;19800
95;2/9/2021;7;1;2;983498;1022000;7398.26;5110;102;3;5943
96;2/9/2021;8;1;4;4387490;9721;2152.37;290;6;1;4353
97;2/9/2021;9;1;4;544756;189854;29091.40;1198;24;3;2943
98;2/9/2021;10;3;2;374754;346068;57642.40;3006;99;15;89460
99;2/9/2021;11;4;5;39889;3736884;44731.70;4190;84;13;51259
100;2/10/2021;1;1;4;349043;961800;43386.40;4809;96;8;42400
101;2/10/2021;2;1;4;348934;852250;43865.90;6596;132;7;34867
102;2/10/2021;3;2;3;89459845;108748;51883.10;1797;57;11;86724
103;2/10/2021;4;2;3;127823;797238;67577.80;4797;154;19;42598
104;2/10/2021;5;3;1;10934;1469962;19831.40;8998;80;16;130768
105;2/10/2021;6;1;2;9034945;3858193;38890.30;5406;186;14;83734
106;2/10/2021;7;1;2;983498;2040000;14147.90;10200;395;4;7924
107;2/10/2021;8;1;4;4387490;18399;12713.00;599;22;5;27065
108;2/10/2021;9;1;4;544756;321713;131236.00;2396;88;15;14715
109;2/10/2021;10;3;2;374754;489728;126901.00;6005;187;34;143888
110;2/10/2021;11;4;5;39889;5219501;179519.00;8391;302;60;196680
111;2/11/2021;1;1;4;349043;1061233;105681.00;7206;144;23;105225
112;2/11/2021;2;1;4;348934;4564542;188516.00;9895;304;28;131068
113;2/11/2021;3;2;3;89459845;134600;26220.40;2692;54;6;48990
114;2/11/2021;4;2;3;127823;1254537;51422.50;7198;144;14;41986
115;2/11/2021;5;3;1;10934;1210466;197161.00;13506;474;95;831820
116;2/11/2021;6;1;2;9034945;2224531;348.99;8106;1;0;0
117;2/11/2021;7;1;2;983498;3058200;4138.73;15291;114;1;2771
118;2/11/2021;8;1;4;4387490;26774;17711.10;893;27;6;29886
119;2/11/2021;9;1;4;544756;359500;6171.15;3595;5;1;677
120;2/11/2021;10;3;2;374754;900400;128751.00;9004;227;29;143869
121;2/11/2021;11;4;5;39889;5125187;193124.00;12602;482;57;226917
122;2/12/2021;1;1;4;349043;1804868;110004.00;9607;192;23;96163
123;2/12/2021;2;1;4;348934;2639200;191722.00;13196;325;32;176512
124;2/12/2021;3;2;3;89459845;161493;59745.30;3602;72;14;122710
125;2/12/2021;4;2;3;127823;1502383;86733.10;9605;192;19;56639
126;2/12/2021;5;3;1;10934;1299708;121652.00;17994;378;61;486841
127;2/12/2021;6;1;2;9034945;3735390;26659.90;10806;115;9;53523
128;2/12/2021;7;1;2;983498;7156880;49060.30;20391;408;15;29715
129;2/12/2021;8;1;4;4387490;42587;11278.30;1207;34;8;39848
130;2/12/2021;9;1;4;544756;480000;44580.90;4800;33;5;6945
131;2/12/2021;10;3;2;374754;1200300;308572.00;12003;412;79;393499
132;2/12/2021;11;4;5;39889;10819771;145201.00;16808;336;49;195069
133;2/13/2021;1;1;4;349043;1496322;308692.00;11990;397;60;341880
134;2/13/2021;2;1;4;348934;2358224;325444.00;16506;655;52;262184
135;2/13/2021;3;2;3;89459845;225350;61588.10;4507;100;17;152660
136;2/13/2021;4;2;3;127823;3452027;216562.00;12010;378;56;123088
137;2/13/2021;5;3;1;10934;2250900;205045.00;22509;790;158;1296550
138;2/13/2021;6;1;2;9034945;2698200;88844.80;13491;219;26;176384
139;2/13/2021;7;1;2;983498;5100600;16656.80;25503;510;6;10134
140;2/13/2021;8;1;4;4387490;50333;8367.08;1510;19;4;18828
141;2/13/2021;9;1;4;544756;495013;171332.00;6006;128;19;24035
142;2/13/2021;10;3;2;374754;1499200;32770.10;14992;50;8;43976
143;2/13/2021;11;4;5;39889;17890507;390105.00;20993;734;118;353174
144;2/14/2021;1;1;4;349043;2452315;60244.90;14406;110;14;63560
145;2/14/2021;2;1;4;348934;7936534;197948.00;19797;396;30;149430
146;2/14/2021;3;2;3;89459845;263754;56440.30;5409;90;11;84183
147;2/14/2021;4;2;3;127823;3111389;196998.00;14390;498;48;101280
148;2/14/2021;5;3;1;10934;2511956;231751.00;26993;540;85;733550
149;2/14/2021;6;1;2;9034945;3239400;312844.00;16197;604;72;377352
150;2/14/2021;7;1;2;983498;5130500;218228.00;30602;935;54;119718
151;2/14/2021;8;1;4;4387490;55495;4764.34;1790;10;2;10902
152;2/14/2021;9;1;4;544756;605220;170719.00;7205;142;21;14280
153;2/14/2021;10;3;2;374754;2429465;205870.00;17998;354;53;306817
154;2/14/2021;11;4;5;39889;7218480;225274.00;25190;504;76;236056
155;2/15/2021;1;1;4;349043;3361800;168064.00;16809;247;30;149430
156;2/15/2021;2;1;4;348934;3441545;593576.00;23103;694;81;403461
157;2/15/2021;3;2;3;89459845;315350;82930.70;6307;126;19;138073
158;2/15/2021;4;2;3;127823;3359600;124854.00;16798;336;31;92411
159;2/15/2021;5;3;1;10934;2478877;151480.00;31504;630;98;782138
160;2/15/2021;6;1;2;9034945;3780200;136269.00;18901;378;45;269145
161;2/15/2021;7;1;2;983498;7138400;37098.60;35692;916;11;21791
162;2/15/2021;8;1;4;4387490;63986;14609.50;2099;28;5;24905
163;2/15/2021;9;1;4;544756;1093435;6587.76;8402;4;1;741
164;2/15/2021;10;3;2;374754;2100700;82452.00;21007;122;24;103392
165;2/15/2021;11;4;5;39889;8747458;543275.00;29390;1061;171;809685
166;2/16/2021;1;1;4;349043;3839000;393027.00;19195;384;64;336448
167;2/16/2021;2;1;4;348934;5280000;595176.00;26400;923;80;392160
168;2/16/2021;3;2;3;89459845;373184;102053.00;7198;144;22;185482
169;2/16/2021;4;2;3;127823;3841400;271906.00;19207;666;67;199727
170;2/16/2021;5;3;1;10934;4371118;221258.00;35999;720;128;1021570
171;2/16/2021;6;1;2;9034945;4319200;143680.00;21596;432;34;171972
172;2/16/2021;7;1;2;983498;15988504;103731.00;40794;816;24;41424
173;2/16/2021;8;1;4;4387490;80233;31712.00;2407;48;12;59772
174;2/16/2021;9;1;4;544756;1576818;345629.00;9597;292;39;25857
175;2/16/2021;10;3;2;374754;3937010;620903.00;23994;833;160;939360
176;2/16/2021;11;4;5;39889;56876855;206424.00;33592;416;62;246822
177;2/17/2021;1;1;4;349043;4320600;489831.00;21603;652;86;428366
178;2/17/2021;2;1;4;348934;6102420;403691.00;29704;594;61;303841
179;2/17/2021;3;2;3;89459845;490058;116213.00;8104;162;31;227726
180;2/17/2021;4;2;3;127823;4319200;180223.00;21596;442;44;136708
181;2/17/2021;5;3;1;10934;4049400;363811.00;40494;746;149;1189170
182;2/17/2021;6;1;2;9034945;4999407;246023.00;24294;606;73;496546
183;2/17/2021;7;1;2;983498;32964848;162819.00;45907;974;46;121900
184;2/17/2021;8;1;4;4387490;84332;31422.50;2698;54;11;45441
185;2/17/2021;9;1;4;544756;1361187;291254.00;10810;216;32;31392
186;2/17/2021;10;3;2;374754;2795511;462606.00;26990;795;119;592739
187;2/17/2021;11;4;5;39889;16553044;523398.00;37805;756;142;565302
188;2/18/2021;1;1;4;349043;4798200;30892.20;23991;61;6;25686
189;2/18/2021;2;1;4;348934;4678356;373294.00;33003;1313;51;237711
190;2/18/2021;3;2;3;89459845;527210;119542.00;9004;162;28;214368
191;2/18/2021;4;2;3;127823;10593685;200986.00;24005;480;43;93353
192;2/18/2021;5;3;1;10934;4064081;86522.90;45004;144;31;256897
193;2/18/2021;6;1;2;9034945;11212959;241388.00;27009;599;72;430632
194;2/18/2021;7;1;2;983498;13281923;58596.40;51000;1020;16;36016
195;2/18/2021;8;1;4;4387490;97885;17176.70;2991;28;6;33930
196;2/18/2021;9;1;4;544756;1181224;171831.00;11991;128;19;17917
197;2/18/2021;10;3;2;374754;2482796;518530.00;30000;1032;134;796630
198;2/18/2021;11;4;5;39889;419970000;339735.00;41997;840;114;516420
199;2/19/2021;1;1;4;349043;15345139;53253.90;26407;71;10;44550
200;2/19/2021;2;1;4;348934;7260800;415376.00;36304;726;58;288898
201;2/19/2021;3;2;3;89459845;413291;9777.55;9904;14;2;15962
202;2/19/2021;4;2;3;127823;8455475;81623.50;26406;281;20;72300
203;2/19/2021;5;3;1;10934;3801165;880357.00;49510;1666;369;2812520
204;2/19/2021;6;1;2;9034945;6168252;300775.00;29699;1082;96;574176
205;2/19/2021;7;1;2;983498;11222000;9908.98;56110;185;3;3621
206;2/19/2021;8;1;4;4387490;115166;3173.41;3297;7;1;5199
207;2/19/2021;9;1;4;544756;1320200;440355.00;13202;264;45;80325
208;2/19/2021;10;3;2;374754;3299900;404285.00;32999;694;104;519272
209;2/19/2021;11;4;5;39889;19065489;492126.00;46209;924;139;556417
210;2/20/2021;1;1;4;349043;9916906;56874.20;28796;88;12;59772
211;2/20/2021;2;1;4;348934;7918600;455831.00;39593;853;68;387124
212;2/20/2021;3;2;3;89459845;540450;190469.00;10809;359;47;365378
213;2/20/2021;4;2;3;127823;5762000;435770.00;28810;732;96;253440
214;2/20/2021;5;3;1;10934;5399300;303860.00;53993;1094;182;1452540
215;2/20/2021;6;1;2;9034945;7669421;404737.00;32395;1003;139;847066
216;2/20/2021;7;1;2;983498;12239000;150065.00;61195;1224;48;73392
217;2/20/2021;8;1;4;4387490;111784;73587.50;3594;116;24;119544
218;2/20/2021;9;1;4;544756;1118531;173041.00;14399;113;18;17658
219;2/20/2021;10;3;2;374754;5497354;504576.00;35994;822;137;682397
220;2/20/2021;11;4;5;39889;26012342;750361.00;50408;1678;252;1003210
221;2/21/2021;1;1;4;349043;478600;38596.70;2393;66;7;31094
222;2/21/2021;2;1;4;348934;543787;39481.00;3299;113;6;29538
223;2/21/2021;3;2;3;89459845;49655;9444.12;907;18;2;15962
224;2/21/2021;4;2;3;127823;478400;17476.20;2392;48;5;12910
225;2/21/2021;5;3;1;10934;713896;30801.00;4507;90;20;159620
226;2/21/2021;6;1;2;9034945;555915;29457.50;2709;60;10;55540
227;2/21/2021;7;1;2;983498;781353;12503.50;5104;102;4;7924
228;2/21/2021;8;1;4;4387490;10812;1555.96;296;3;1;3993
229;2/21/2021;9;1;4;544756;119400;32169.90;1194;24;4;3924
230;2/21/2021;10;3;2;374754;300900;65006.30;3009;89;17;84677
231;2/21/2021;11;4;5;39889;42080000;25023.20;4208;67;10;31710
232;2/22/2021;1;1;4;349043;605386;59710.00;4802;96;12;67632
233;2/22/2021;2;1;4;348934;2090371;95536.20;6606;132;14;69734
234;2/22/2021;3;2;3;89459845;90500;30645.40;1810;65;7;59045
235;2/22/2021;4;2;3;127823;959600;12348.30;4798;39;4;11924
236;2/22/2021;5;3;1;10934;757387;77803.80;8997;180;42;359394
237;2/22/2021;6;1;2;9034945;4565811;33474.70;5397;108;9;53829
238;2/22/2021;7;1;2;983498;2190892;19196.60;10202;124;7;14602
239;2/22/2021;8;1;4;4387490;17821;5792.48;598;12;3;12168
240;2/22/2021;9;1;4;544756;239600;51783.30;2396;48;6;5886
241;2/22/2021;10;3;2;374754;599700;137382.00;5997;236;35;158340
242;2/22/2021;11;4;5;39889;105873774;60021.60;8409;168;20;80600
243;2/23/2021;1;1;4;349043;924525;9858.28;1203;28;2;9962
244;2/23/2021;2;1;4;348934;475992;19350.00;1641;37;3;12225
245;2/23/2021;3;2;3;89459845;22175;5409.21;442;9;2;15050
246;2/23/2021;4;2;3;127823;241000;12581.60;1205;24;3;8943
247;2/23/2021;5;3;1;10934;297609;16343.00;2246;45;8;63848
248;2/23/2021;6;1;2;9034945;536236;557.25;1349;1;0;0
249;2/23/2021;7;1;2;983498;512000;4285.44;2560;51;2;2934
250;2/23/2021;8;1;4;4387490;4908;1238.09;155;3;1;5265
251;2/23/2021;9;1;4;544756;60800;16078.60;608;12;2;2720
252;2/23/2021;10;3;2;374754;117218;15435.00;1500;31;4;17816
253;2/23/2021;11;4;5;39889;654544;16706.40;2099;42;6;23886
254;2/24/2021;1;1;4;349043;479596;94564.20;2408;93;15;81825
255;2/24/2021;2;1;4;348934;395127;44347.20;3297;66;7;34867
256;2/24/2021;3;2;3;89459845;45150;14306.20;903;18;3;23943
257;2/24/2021;4;2;3;127823;291441;22357.60;2408;52;5;19060
258;2/24/2021;5;3;1;10934;409320;22944.30;4508;65;14;111734
259;2/24/2021;6;1;2;9034945;869482;23908.40;2703;42;7;36456
260;2/24/2021;7;1;2;983498;624157;18675.00;5098;122;6;10590
261;2/24/2021;8;1;4;4387490;8966;2857.10;297;6;1;4981
262;2/24/2021;9;1;4;544756;148794;48796.60;1196;38;6;8178
263;2/24/2021;10;3;2;374754;355802;42311.50;2990;60;9;44829
264;2/24/2021;11;4;5;39889;2770687;34169.90;4205;84;16;63696
265;2/25/2021;1;1;4;349043;94600;11230.20;473;15;2;10104
266;2/25/2021;2;1;4;348934;131400;10357.00;657;13;2;9962
267;2/25/2021;3;2;3;89459845;8750;1078.73;175;1;0;0
268;2/25/2021;4;2;3;127823;61867;9472.22;487;19;2;5730
269;2/25/2021;5;3;1;10934;94976;9034.91;904;22;5;38030
270;2/25/2021;6;1;2;9034945;106000;2304.01;530;6;1;5981
271;2/25/2021;7;1;2;983498;115468;2059.03;1015;20;1;1981
272;2/25/2021;8;1;4;4387490;2214;1487.47;66;3;1;4461
273;2/25/2021;9;1;4;544756;25000;5871.29;250;5;1;981
274;2/25/2021;10;3;2;374754;46753;6227.53;591;12;2;10130
275;2/25/2021;11;4;5;39889;2885291;7583.66;848;17;3;11943
276;2/26/2021;1;1;4;349043;168408;19887.70;1207;39;4;22488
277;2/26/2021;2;1;4;348934;438858;17935.40;1657;33;3;15345
278;2/26/2021;3;2;3;89459845;22450;1545.74;449;2;0;0
279;2/26/2021;4;2;3;127823;240600;4453.10;1203;11;1;2283
280;2/26/2021;5;3;1;10934;195016;38804.20;2247;82;16;127696
281;2/26/2021;6;1;2;9034945;174375;12592.40;1342;27;4;26556
282;2/26/2021;7;1;2;983498;508600;2403.54;2543;73;1;1981
283;2/26/2021;8;1;4;4387490;4906;1071.16;143;3;1;4981
284;2/26/2021;9;1;4;544756;55269;315.92;610;0;0;0
285;2/26/2021;10;3;2;374754;192489;15596.00;1497;34;5;25205
286;2/26/2021;11;4;5;39889;20930000;8087.73;2093;22;3;12213
287;2/27/2021;1;1;4;349043;213771;5003.33;241;9;1;4223
288;2/27/2021;2;1;4;348934;66400;3235.77;332;13;0;0
289;2/27/2021;3;2;3;89459845;4662;1754.25;83;2;0;0
290;2/27/2021;4;2;3;127823;40004;1487.24;243;5;0;0
291;2/27/2021;5;3;1;10934;44000;5721.83;440;15;3;23943
292;2/27/2021;6;1;2;9034945;44112;1832.16;275;6;1;5981
293;2/27/2021;7;1;2;983498;78799;254.14;503;3;0;0
294;2/27/2021;8;1;4;4387490;667;200.42;20;0;0;0
295;2/27/2021;9;1;4;544756;13693;3098.45;115;2;0;0
296;2/27/2021;10;3;2;374754;24018;3524.08;298;6;1;4661
297;2/27/2021;11;4;5;39889;182546;2791.06;426;9;1;3981
298;2/28/2021;1;1;4;349043;97200;6440.50;486;11;1;4981
299;2/28/2021;2;1;4;348934;132200;8665.55;661;13;1;5509
300;2/28/2021;3;2;3;89459845;11554;3529.73;187;5;1;8714
301;2/28/2021;4;2;3;127823;55625;384.75;487;1;0;0
302;2/28/2021;5;3;1;10934;129025;9892.77;909;21;5;37450
303;2/28/2021;6;1;2;9034945;63566;4950.74;546;12;1;5981
304;2/28/2021;7;1;2;983498;775780;760.75;1024;4;0;0
305;2/28/2021;8;1;4;4387490;1933;224.81;58;0;0;0
306;2/28/2021;9;1;4;544756;25840;6844.80;248;5;1;1491
307;2/28/2021;10;3;2;374754;94058;4845.65;594;12;1;5008
308;2/28/2021;11;4;5;39889;8490000;6822.62;849;18;2;7030
